Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1000,3.6394665,29.606060606060606,-0.31589428,-0.08200005535036325,-0.08200005535036325,0.22352512,0.24672027,0.00029969795,0.1998993,0.00049950666,1.0
2000,3.5014496,28.88235294117647,-0.43279475,-0.19892357728060553,-0.19892357728060553,0.08919072,0.25364965,0.00029911302,0.19970433,0.0004985513,1.0
3000,3.3998873,31.129032258064516,-0.32706136,-0.07181293925931377,-0.07181293925931377,0.14347988,0.2791304,0.0002984789,0.19949298,0.0004975155,1.0
4000,3.2585158,31.666666666666668,-0.5585917,-0.08667674958705902,-0.08667674958705902,0.12921393,0.2479492,0.00029789843,0.19929948,0.00049656746,1.0
5000,3.1578531,32.96666666666667,-0.37960175,-0.019310043255488078,-0.019310043255488078,0.089422315,0.22922237,0.0002972958,0.19909859,0.0004955831,1.0
6000,3.240658,31.766666666666666,-0.35801736,0.08379659454027812,0.08379659454027812,0.14925776,0.2409885,0.00029670144,0.19890049,0.0004946124,1.0
7000,3.1253705,30.53125,-0.5593555,-0.2706188326701522,-0.2706188326701522,0.043524142,0.24282813,0.0002961091,0.198703,0.00049364485,1.0
8000,2.7570949,31.838709677419356,-0.504946,-0.031038774598029353,-0.031038774598029353,0.12882221,0.26169604,0.00029551832,0.19850609,0.0004926799,1.0
9000,2.2485292,29.90625,-0.5314633,-0.10005632322281599,-0.10005632322281599,0.12250939,0.26145205,0.00029491217,0.19830404,0.0004916898,1.0
10000,2.3364577,30.967741935483872,-0.4422417,-0.04841944094627134,-0.04841944094627134,0.08559576,0.25421488,0.00029429223,0.19809741,0.0004906773,1.0
11000,2.2940457,30.903225806451612,-0.4900255,-0.1382645849258669,-0.1382645849258669,0.08960523,0.24177063,0.0002936995,0.19789983,0.0004897092,1.0
12000,2.4137645,32.43333333333333,-0.5019558,0.0430499662955602,0.0430499662955602,0.120721236,0.23184168,0.00029312156,0.19770718,0.00048876513,1.0
13000,2.1672454,33.266666666666666,-0.38168198,0.043989943464597066,0.043989943464597066,0.13083659,0.24183041,0.00029251855,0.1975062,0.00048778031,1.0
14000,1.9320198,32.58620689655172,-0.25402278,0.18012066442390967,0.18012066442390967,0.11141089,0.27007782,0.00029189477,0.19729823,0.00048676145,1.0
15000,1.7995,30.9375,-0.49386692,-0.1218938510864973,-0.1218938510864973,0.09951919,0.24367775,0.00029128097,0.19709365,0.00048575888,1.0
16000,1.4584528,29.90625,-0.48378217,-0.08730009570717812,-0.08730009570717812,0.114127964,0.24300641,0.00029071246,0.19690415,0.00048483035,1.0
17000,1.1109074,27.457142857142856,-0.49760008,-0.2036200829914638,-0.2036200829914638,0.10318783,0.26679114,0.00029011222,0.19670407,0.00048384996,1.0
18000,1.0030657,23.925,-0.63407445,-0.28990760892629625,-0.28990760892629625,0.045643207,0.27985483,0.00028949976,0.19649993,0.00048284957,1.0
19000,1.19782,26.62162162162162,-0.61807287,-0.25756767231064875,-0.25756767231064875,0.023663584,0.24437125,0.00028889475,0.19629826,0.00048186144,1.0
20000,1.518503,30.15625,-0.58640623,-0.23204072751104832,-0.23204072751104832,0.0716645,0.24531184,0.0002883012,0.19610041,0.00048089196,1.0
21000,1.6597596,24.871794871794872,-0.65946686,-0.2284539357209817,-0.2284539357209817,0.061733313,0.2524592,0.0002877022,0.19590074,0.00047991346,1.0
22000,1.5648733,29.0,-0.5523156,-0.2177182553392468,-0.2177182553392468,0.09088163,0.23913094,0.0002871008,0.19570024,0.00047893124,1.0
23000,1.7252427,26.444444444444443,-0.62965035,-0.27315283401144874,-0.27315283401144874,0.05719167,0.2412732,0.0002865209,0.19550695,0.00047798408,1.0
24000,1.9269199,30.15625,-0.50335634,-0.03044381272047758,-0.03044381272047758,0.11311726,0.24069835,0.00028591658,0.19530553,0.00047699705,1.0
25000,1.6157699,26.583333333333332,-0.6037795,-0.29772230237722397,-0.29772230237722397,0.07532293,0.24460761,0.00028529222,0.19509739,0.00047597723,1.0
26000,1.3179666,29.242424242424242,-0.6476489,-0.28397885055253,-0.28397885055253,0.062045548,0.2554225,0.00028471305,0.19490436,0.00047503132,1.0
27000,1.2916167,31.70967741935484,-0.5405373,-0.09005169137831658,-0.09005169137831658,0.09819236,0.2539822,0.0002841226,0.19470756,0.00047406688,1.0
28000,1.2130436,30.09375,-0.41856575,-0.007387584075331688,-0.007387584075331688,0.12612303,0.25046572,0.0002835085,0.19450283,0.00047306382,1.0
29000,0.93536377,32.63333333333333,-0.33170372,0.10017659664154052,0.10017659664154052,0.14891267,0.2266495,0.0002829071,0.19430235,0.0004720815,1.0
30000,1.1347696,29.84375,-0.4565199,-0.09415319189429283,-0.09415319189429283,0.09786409,0.24157032,0.0002822966,0.19409885,0.00047108438,1.0
31000,1.1933084,28.764705882352942,-0.50854295,-0.17159123894046335,-0.17159123894046335,0.08058908,0.23778073,0.00028169414,0.19389802,0.00047010038,1.0
