Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1000,1.418815,15.491803278688524,0.1817212,0.26666666666666666,0.26666666666666666,0.2755948,0.25391906,0.0002996804,0.19989346,0.0004994779,1.0
2000,1.4099417,11.195121951219512,0.26574343,0.345679012345679,0.345679012345679,0.1599187,0.25411093,0.0002991113,0.19970375,0.00049854844,1.0
3000,1.402956,8.650485436893204,0.28580862,0.41346153846153844,0.41346153846153844,0.13827969,0.25290024,0.00029850483,0.1995016,0.0004975578,1.0
4000,1.4080586,7.138211382113822,0.43467262,0.4796747967479675,0.4796747967479675,0.15025209,0.24057415,0.0002978997,0.19929989,0.00049656944,1.0
5000,1.4096732,6.641221374045801,0.4617467,0.4732824427480916,0.4732824427480916,0.14384702,0.22688088,0.00029730314,0.19910103,0.0004955951,1.0
6000,1.406399,6.231884057971015,0.5162401,0.5289855072463768,0.5289855072463768,0.12628521,0.2284547,0.00029669792,0.19889931,0.0004946066,1.0
7000,1.4162198,6.7,0.53066325,0.5307692307692308,0.5307692307692308,0.10906796,0.23677528,0.00029609574,0.19869857,0.000493623,1.0
8000,1.4173975,6.451851851851852,0.4870801,0.5555555555555556,0.5555555555555556,0.0999601,0.26340914,0.00029548677,0.19849557,0.0004926283,1.0
9000,1.4167739,7.491525423728813,0.5585128,0.5677966101694916,0.5677966101694916,0.11367622,0.24627835,0.00029490588,0.19830196,0.0004916796,1.0
10000,1.4175819,6.936,0.6077966,0.576,0.576,0.10945356,0.22849509,0.0002942979,0.19809929,0.00049068657,1.0
11000,1.4150921,6.753846153846154,0.5744084,0.6,0.6,0.078389555,0.24360943,0.00029369222,0.1978974,0.0004896973,1.0
12000,1.4159797,7.432203389830509,0.61230165,0.6186440677966102,0.6186440677966102,0.09695403,0.23586419,0.00029308873,0.19769624,0.0004887115,1.0
13000,1.4087534,9.329896907216495,0.6418208,0.6597938144329897,0.6597938144329897,0.06970435,0.2445782,0.00029249606,0.19749868,0.00048774347,1.0
14000,1.4052262,7.79646017699115,0.6802638,0.7787610619469026,0.7787610619469026,0.06482752,0.21802798,0.0002919087,0.19730288,0.0004867842,1.0
15000,1.408639,7.047244094488189,0.7881679,0.7874015748031497,0.7874015748031497,0.066692114,0.23550095,0.00029131307,0.19710436,0.00048581132,1.0
16000,1.4062132,7.288135593220339,0.7563243,0.788135593220339,0.788135593220339,0.06949822,0.24013717,0.0002907251,0.19690835,0.00048485093,1.0
17000,1.404358,6.769230769230769,0.78768843,0.8,0.8,0.040686596,0.26060385,0.00029011545,0.19670513,0.0004838552,1.0
18000,1.4016289,6.875968992248062,0.7293122,0.7596899224806202,0.7596899224806202,0.07570725,0.2536647,0.00028951478,0.1965049,0.00048287405,1.0
19000,1.3935356,6.669291338582677,0.80992067,0.8582677165354331,0.8582677165354331,0.047439236,0.2572129,0.00028889967,0.19629988,0.00048186939,1.0
20000,1.3915305,7.964285714285714,0.79244465,0.8571428571428571,0.8571428571428571,0.025555778,0.22025704,0.00028829902,0.19609968,0.00048088835,1.0
21000,1.3903598,6.5606060606060606,0.8454684,0.8560606060606061,0.8560606060606061,0.022904022,0.23407094,0.0002877021,0.19590071,0.0004799134,1.0
22000,1.3914896,6.736434108527132,0.8520256,0.8682170542635659,0.8682170542635659,0.026903791,0.22835006,0.0002871026,0.19570087,0.00047893423,1.0
23000,1.3858283,6.514925373134329,0.86551183,0.8880597014925373,0.8880597014925373,0.030887326,0.22668298,0.0002865045,0.1955015,0.00047795736,1.0
24000,1.3757199,7.088709677419355,0.8801569,0.9274193548387096,0.9274193548387096,0.0115031935,0.2313699,0.00028588032,0.19529346,0.00047693783,1.0
25000,1.3685658,7.096,0.86961883,0.896,0.896,0.02410265,0.2426108,0.0002852868,0.1950956,0.00047596844,1.0
26000,1.3698188,6.213235294117647,0.85673934,0.8823529411764706,0.8823529411764706,0.02786141,0.24600807,0.0002846978,0.19489928,0.0004750064,1.0
27000,1.3652077,5.86986301369863,0.87681174,0.8767123287671232,0.8767123287671232,0.0328911,0.23118398,0.00028411066,0.19470356,0.00047404744,1.0
28000,1.3630675,6.553030303030303,0.910323,0.9242424242424242,0.9242424242424242,0.015704881,0.22743657,0.00028351447,0.19450483,0.0004730736,1.0
29000,1.3628156,6.142857142857143,0.9417267,0.9714285714285714,0.9714285714285714,0.0038623952,0.23665175,0.00028288615,0.19429538,0.00047204737,1.0
30000,1.3648273,5.410256410256411,0.94211227,0.9551282051282052,0.9551282051282052,0.019790776,0.26246616,0.0002822866,0.19409555,0.00047106814,1.0
31000,1.3597345,5.958333333333333,0.9699281,0.9861111111111112,0.9861111111111112,0.007834597,0.24779904,0.00028169615,0.19389872,0.0004701037,1.0
32000,1.3487173,6.014084507042254,0.95566374,0.9859154929577465,0.9859154929577465,0.0038469082,0.25363582,0.00028109885,0.1936996,0.00046912802,1.0
33000,1.3417549,5.931034482758621,0.94283,0.9724137931034482,0.9724137931034482,0.007058331,0.24423632,0.00028050138,0.19350046,0.0004681522,1.0
