Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1000,3.6385522,28.88235294117647,-0.69884115,-0.9664184713002407,-0.9664184713002407,0.1485712,0.24467644,0.00029968278,0.19989425,0.00049948186,1.0
2000,3.5969973,28.818181818181817,-0.8263365,-0.884486356919462,-0.884486356919462,0.10152654,0.26030892,0.0002991303,0.1997101,0.00049857947,1.0
3000,3.4170399,31.451612903225808,-0.8172287,-0.7719058120442975,-0.7719058120442975,0.31249025,0.23862083,0.0002985302,0.19951007,0.00049759937,1.0
4000,3.1879067,29.454545454545453,-0.72469354,-0.683302413333546,-0.683302413333546,1.0692486,0.23564251,0.00029792706,0.19930902,0.00049661426,1.0
5000,3.0521684,30.90625,-0.85321313,-0.8350968775339425,-0.8350968775339425,0.35464057,0.25924045,0.00029730608,0.19910203,0.00049559993,1.0
6000,2.9957604,32.0,-0.7429502,-0.739945005873839,-0.739945005873839,0.30607754,0.2344596,0.00029668224,0.19889408,0.00049458107,1.0
7000,3.0845802,30.46875,-0.7044571,-0.8048112518154085,-0.8048112518154085,0.12851104,0.25985253,0.00029610778,0.19870259,0.00049364276,1.0
8000,3.019409,32.62068965517241,-0.7510548,-0.7882089594314838,-0.7882089594314838,0.16397515,0.24724452,0.00029547393,0.19849132,0.0004926075,1.0
9000,2.3862088,35.888888888888886,-0.4114328,-0.18629000970610865,-0.18629000970610865,0.5985597,0.23290329,0.00029489357,0.19829786,0.0004916595,1.0
10000,2.1009305,32.6,-0.6647035,-0.5848899955550829,-0.5848899955550829,0.8744061,0.23918302,0.00029430867,0.1981029,0.00049070414,1.0
11000,2.343835,32.63333333333333,-0.53979087,-0.5464396516482035,-0.5464396516482035,0.2709406,0.25137568,0.00029370142,0.19790047,0.00048971234,1.0
12000,2.200459,35.407407407407405,-0.54033583,0.13635932516168664,0.13635932516168664,1.3906696,0.2595332,0.00029309915,0.19769971,0.0004887286,1.0
13000,1.9455372,33.0,-0.40510073,-0.3671730282406012,-0.3671730282406012,1.0238152,0.2524075,0.00029251282,0.19750428,0.0004877709,1.0
14000,1.8304789,35.77777777777778,-0.5805913,-0.04067964686287774,-0.04067964686287774,2.5389223,0.24782494,0.00029189914,0.1972997,0.00048676858,1.0
15000,2.2206016,36.629629629629626,-0.5284333,0.24621775884319236,0.24621775884319236,2.7941043,0.2554396,0.00029129878,0.19709961,0.00048578804,1.0
16000,2.4039829,35.25925925925926,-0.33695567,0.09447703703686043,0.09447703703686043,2.9198601,0.25416204,0.00029070626,0.1969021,0.00048482025,1.0
17000,2.5010183,37.26923076923077,-0.3213647,0.02589732064650609,0.02589732064650609,0.9536681,0.24080414,0.00029010753,0.19670251,0.00048384222,1.0
18000,2.5403528,37.42307692307692,-0.1438396,0.14995116396592215,0.14995116396592215,0.64676523,0.23051745,0.00028950706,0.19650233,0.00048286136,1.0
19000,2.4822242,35.642857142857146,-0.06746755,0.35357498058250975,0.35357498058250975,2.0114436,0.28036404,0.00028889347,0.19629782,0.00048185934,1.0
20000,2.7312355,38.2,-0.12567383,0.4038436025381088,0.4038436025381088,0.7529514,0.26246932,0.00028829728,0.1960991,0.0004808855,1.0
