Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1000,3.6424835,29.727272727272727,3.2419887,103.37687301635742,103.37687301635742,3447.5713,0.24323672,0.0002996975,0.19989915,0.00049950584,1.0
2000,3.561273,29.333333333333332,9.80538,110.56848196549849,110.56848196549849,3362.029,0.24484546,0.00029910676,0.19970226,0.00049854105,1.0
3000,3.3577669,32.0,16.126566,114.82533016204835,114.82533016204835,3500.697,0.2599902,0.00029847806,0.19949268,0.00049751415,1.0
4000,3.361557,32.3,18.897495,95.83666394551595,95.83666394551595,1992.0775,0.24675173,0.00029788926,0.19929643,0.0004965525,1.0
5000,3.2944803,34.37931034482759,24.457872,120.85447883605957,120.85447883605957,2544.5996,0.23791552,0.00029727744,0.19909248,0.00049555313,1.0
6000,3.3532777,27.941176470588236,26.327587,84.9917636198156,84.9917636198156,1571.0734,0.25110996,0.00029668742,0.1988958,0.0004945894,1.0
7000,3.326746,27.97142857142857,26.550547,79.8685691833496,79.8685691833496,1245.0098,0.24204934,0.0002960955,0.1986985,0.0004936226,1.0
8000,3.1734269,29.393939393939394,26.6812,80.46120990406384,80.46120990406384,1040.4722,0.23484641,0.0002955187,0.1985062,0.0004926805,1.0
9000,3.0453517,29.84375,28.493122,82.71624755859375,82.71624755859375,1294.059,0.26781464,0.00029492134,0.1983071,0.0004917048,1.0
10000,2.958163,28.78787878787879,28.610321,87.76908868731874,87.76908868731874,2661.406,0.24090736,0.00029432334,0.19810776,0.0004907281,1.0
11000,2.823712,27.25,29.561441,89.41944244172838,89.41944244172838,2164.6748,0.24084666,0.0002936959,0.19789863,0.00048970326,1.0
12000,2.6003866,28.757575757575758,32.049557,92.72727076212566,92.72727076212566,1549.9724,0.24176744,0.00029309283,0.19769761,0.0004887182,1.0
13000,2.7667947,26.324324324324323,30.948212,83.49243060962574,83.49243060962574,1707.9741,0.25438297,0.0002924938,0.19749795,0.0004877399,1.0
14000,2.58108,27.857142857142858,31.341665,88.57371215820312,88.57371215820312,1742.0979,0.23657091,0.0002918863,0.19729543,0.00048674754,1.0
15000,2.3904703,29.424242424242426,31.599247,109.12908883528276,109.12908883528276,2222.6436,0.26025534,0.00029127812,0.1970927,0.00048575416,1.0
16000,1.9921405,28.029411764705884,32.63774,85.40764500113094,85.40764500113094,1235.9075,0.25280803,0.0002906638,0.19688794,0.00048475084,1.0
17000,2.1986723,30.870967741935484,32.046535,98.06515884399414,98.06515884399414,1250.689,0.24405219,0.00029007642,0.19669214,0.0004837914,1.0
18000,2.2546585,30.90625,32.89821,105.54499745368958,105.54499745368958,3335.149,0.22578476,0.00028948215,0.19649407,0.00048282085,1.0
19000,2.2638786,30.125,35.250343,108.43562197685242,108.43562197685242,2635.2012,0.24559662,0.00028888736,0.19629578,0.0004818493,1.0
20000,2.6228914,33.48275862068966,35.80322,127.33447949639682,127.33447949639682,2017.7324,0.21903335,0.0002883147,0.19610491,0.000480914,1.0
21000,2.7368207,32.766666666666666,38.593895,118.6566645304362,118.6566645304362,2162.4756,0.25369298,0.00028772175,0.19590726,0.0004799455,1.0
22000,2.6433651,34.214285714285715,40.052742,125.3428544316973,125.3428544316973,2154.7747,0.2797653,0.0002871166,0.1957055,0.000478957,1.0
23000,2.635126,32.93103448275862,40.994873,115.92206705027613,115.92206705027613,1981.2717,0.22844338,0.00028651574,0.19550525,0.0004779757,1.0
24000,2.343736,31.483870967741936,42.99865,103.98322400739116,103.98322400739116,1608.7162,0.254706,0.0002858774,0.19529246,0.00047693303,1.0
25000,2.311943,36.18518518518518,43.211796,125.88073850561071,125.88073850561071,2043.4912,0.2322093,0.00028528104,0.19509366,0.00047595895,1.0
26000,2.2533815,33.96551724137931,44.440773,114.88482639707368,114.88482639707368,1796.9323,0.2404325,0.00028466893,0.19488966,0.0004749592,1.0
27000,2.3232596,34.107142857142854,44.085316,144.33642598560877,144.33642598560877,5040.8174,0.2485623,0.000284106,0.194702,0.0004740398,1.0
28000,2.3849149,35.77777777777778,45.158604,146.45555220709906,146.45555220709906,3194.969,0.23678151,0.00028352777,0.19450925,0.00047309534,1.0
29000,2.2291992,35.392857142857146,46.07229,139.85713992800032,139.85713992800032,2351.9895,0.27540767,0.00028291316,0.19430439,0.00047209146,1.0
30000,1.9516598,34.42857142857143,46.865566,124.49285479954311,124.49285479954311,1590.7311,0.2474826,0.00028229904,0.19409968,0.00047108837,1.0
31000,2.0463276,34.206896551724135,48.254562,122.43240948381096,122.43240948381096,2198.7317,0.23704927,0.0002816867,0.19389556,0.0004700882,1.0
32000,1.8153094,33.964285714285715,48.73458,141.61571196147375,141.61571196147375,3928.5151,0.24194908,0.00028107723,0.19369239,0.00046909275,1.0
33000,1.7324727,34.857142857142854,51.988556,155.88928358895438,155.88928358895438,4017.7534,0.23582356,0.0002804775,0.19349252,0.0004681133,1.0
34000,1.6995304,35.7037037037037,52.255264,135.380738152398,135.380738152398,2108.8213,0.23259334,0.00027989264,0.19329754,0.00046715798,1.0
35000,1.6226017,31.548387096774192,53.060917,109.52451349073841,109.52451349073841,1683.5928,0.22795671,0.0002793246,0.19310822,0.00046623015,1.0
36000,1.6357378,31.0,51.604626,101.21741700941517,101.21741700941517,1595.5676,0.2433138,0.00027872797,0.19290933,0.00046525567,1.0
37000,1.4864326,35.714285714285715,50.614254,150.40142617906844,150.40142617906844,4129.8696,0.25443044,0.00027809656,0.19269885,0.00046422431,1.0
38000,1.5356153,35.81481481481482,50.662403,159.54370060673466,159.54370060673466,2321.7314,0.2438408,0.0002774754,0.19249178,0.00046320978,1.0
39000,1.475231,34.285714285714285,53.039978,123.80428416388375,123.80428416388375,1943.6534,0.26565254,0.0002768744,0.1922915,0.0004622282,1.0
40000,1.3589816,34.357142857142854,52.59915,126.81499712807792,126.81499712807792,3593.7788,0.2503385,0.00027631136,0.19210377,0.00046130852,1.0
