Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1000,1.416117,21.31111111111111,0.40488824,0.0,0.0,0.8059067,0.22885689,0.00029969306,0.19989768,0.00049949856,1.0
2000,1.413868,20.083333333333332,0.048229158,0.0,0.0,0.018251548,0.22969532,0.00029910574,0.19970192,0.0004985394,1.0
3000,1.4147767,20.170212765957448,-0.007381693,0.0,0.0,0.008401618,0.2358268,0.0002984998,0.19949993,0.0004975498,1.0
4000,1.4036666,17.92452830188679,0.45760298,0.09433962264150944,0.09433962264150944,2.685799,0.292801,0.00029790922,0.19930308,0.00049658504,1.0
5000,1.4008061,17.181818181818183,-0.08574116,0.05454545454545454,0.05454545454545454,0.13874565,0.2384318,0.00029731847,0.19910616,0.0004956202,1.0
6000,1.3996043,18.41176470588235,0.005648631,0.0196078431372549,0.0196078431372549,0.022389358,0.2198663,0.00029671466,0.19890489,0.0004946339,1.0
7000,1.4005859,15.932203389830509,-0.012772833,0.0,0.0,0.03131116,0.22089607,0.0002961087,0.19870289,0.0004936441,1.0
8000,1.4006416,20.4468085106383,0.023482261,0.0,0.0,0.0115965335,0.23963627,0.00029549276,0.19849758,0.00049263815,1.0
9000,1.405008,18.86,0.068620466,0.02,0.02,0.0925923,0.21915512,0.0002948773,0.19829243,0.0004916329,1.0
10000,1.407321,24.275,0.030428186,0.0,0.0,0.0048113884,0.23090076,0.0002943048,0.19810161,0.00049069786,1.0
11000,1.4045795,21.727272727272727,-0.0063351244,0.022727272727272728,0.022727272727272728,0.056194767,0.2386148,0.0002937157,0.19790524,0.00048973557,1.0
12000,1.3973083,21.066666666666666,0.08497985,0.022222222222222223,0.022222222222222223,0.03696127,0.23685299,0.00029312773,0.19770925,0.0004887753,1.0
13000,1.3896725,23.166666666666668,-0.036851816,0.0,0.0,0.038341362,0.22419222,0.00029252516,0.19750838,0.00048779105,1.0
14000,1.3868467,16.571428571428573,0.03689592,0.0,0.0,0.022752956,0.21928783,0.00029191189,0.19730395,0.0004867894,1.0
15000,1.3873942,19.306122448979593,0.017200066,0.0,0.0,0.023338867,0.24466082,0.0002913114,0.19710377,0.00048580847,1.0
16000,1.3915828,23.48780487804878,0.0068269097,0.0,0.0,0.0058442256,0.25421834,0.00029070565,0.19690186,0.00048481912,1.0
17000,1.385218,23.333333333333332,-0.0143431295,0.0,0.0,0.0099159535,0.257961,0.00029008815,0.19669606,0.00048381058,1.0
18000,1.3785598,24.075,-0.019011008,0.0,0.0,0.0063499296,0.24180669,0.0002894879,0.19649595,0.00048283016,1.0
19000,1.374602,21.181818181818183,-0.011482511,0.0,0.0,0.0055060294,0.27423224,0.00028888983,0.1962966,0.00048185332,1.0
