Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1000,3.6219568,29.90909090909091,4.6684937,205.59802532196045,205.59802532196045,9719.234,0.26599842,0.0002997,0.1999,0.00049951,1.0
2000,3.456872,31.666666666666668,14.132359,218.332164255778,218.332164255778,9034.83,0.26708004,0.00029912498,0.19970834,0.0004985708,1.0
3000,3.3221552,31.3125,19.804592,197.86951804161072,197.86951804161072,7187.3267,0.24481665,0.00029848676,0.19949557,0.0004975283,1.0
4000,3.088882,30.125,24.9253,207.85380029678345,207.85380029678345,7592.625,0.24371499,0.00029790093,0.19930032,0.00049657153,1.0
5000,2.948529,34.357142857142854,31.175978,263.2773562840053,263.2773562840053,11179.637,0.2310608,0.00029729714,0.19909906,0.0004955853,1.0
6000,3.0191848,36.03703703703704,32.76804,258.21290503607855,258.21290503607855,11965.602,0.260374,0.00029667834,0.19889277,0.00049457455,1.0
7000,3.030179,35.25,37.842167,210.89723696027482,210.89723696027482,5836.8447,0.24410541,0.00029607903,0.19869299,0.00049359567,1.0
8000,2.9548178,33.535714285714285,39.122,248.50526700701033,248.50526700701033,10334.665,0.2366269,0.000295501,0.1985003,0.0004926516,1.0
9000,2.9215288,34.37931034482759,43.906258,257.3996753034921,257.3996753034921,10149.428,0.24248865,0.0002949018,0.19830061,0.0004916729,1.0
10000,2.7770224,34.607142857142854,46.750587,244.3624918801444,244.3624918801444,8141.9585,0.25723198,0.0002943016,0.19810052,0.00049069256,1.0
11000,2.6443412,33.964285714285715,49.067993,243.5771094730922,243.5771094730922,7560.5894,0.24473561,0.00029370261,0.19790086,0.00048971426,1.0
12000,2.6303992,34.964285714285715,53.466816,273.3867972237723,273.3867972237723,9204.158,0.24506283,0.0002931082,0.19770272,0.00048874336,1.0
13000,2.30973,35.0,55.984707,286.9621151515416,286.9621151515416,10707.839,0.24555632,0.00029251393,0.19750467,0.00048777275,1.0
14000,2.3648634,35.42857142857143,62.63442,268.3002035958426,268.3002035958426,9735.994,0.2295261,0.0002918743,0.19729145,0.00048672807,1.0
15000,2.0372849,34.7037037037037,63.014133,267.256962246365,267.256962246365,10162.082,0.22720227,0.00029129494,0.19709828,0.00048578167,1.0
16000,2.0366688,34.607142857142854,65.524124,278.91958917890275,278.91958917890275,9223.52,0.23733541,0.00029070085,0.1969003,0.0004848114,1.0
17000,2.1367803,36.851851851851855,69.34743,282.3116754602503,282.3116754602503,10257.716,0.23661332,0.00029010413,0.19670138,0.00048383675,1.0
18000,1.932695,31.766666666666666,71.916954,227.51500905354817,227.51500905354817,5805.4756,0.2568966,0.00028952927,0.19650975,0.00048289777,1.0
19000,2.0260448,35.96296296296296,73.03352,275.60021831371165,275.60021831371165,9148.612,0.24930456,0.00028891623,0.1963054,0.0004818965,1.0
20000,2.1080267,31.93548387096774,72.90029,209.53594084708922,209.53594084708922,4863.959,0.23745458,0.00028828447,0.19609481,0.00048086466,1.0
21000,2.2113342,34.82142857142857,72.81239,256.4950327192034,256.4950327192034,7029.4434,0.24599594,0.0002876905,0.19589683,0.00047989446,1.0
22000,2.4350178,35.357142857142854,75.970474,247.25856236049108,247.25856236049108,6632.493,0.22525679,0.00028711662,0.19570553,0.0004789571,1.0
23000,2.302053,35.407407407407405,76.59276,283.64288951732493,283.64288951732493,8351.683,0.23755789,0.00028648676,0.19549558,0.00047792832,1.0
24000,2.2265253,32.724137931034484,80.003075,240.89425764412715,240.89425764412715,7759.1885,0.23784658,0.0002858931,0.19529769,0.00047695872,1.0
25000,2.2604806,35.888888888888886,78.419464,276.33182101779516,276.33182101779516,8222.9375,0.2301636,0.00028529335,0.19509779,0.0004759791,1.0
