Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1000,3.6538835,33.166666666666664,8.4436245,116.02327965045798,116.02327965045798,5380.173,0.25371662,0.00029969803,0.19989932,0.0004995067,1.0
2000,3.6109326,32.233333333333334,41.035122,109.72537892659506,109.72537892659506,2177.0615,0.24387974,0.0002990995,0.19969982,0.0004985293,1.0
3000,3.545997,29.6875,52.849377,98.23597484827042,98.23597484827042,1127.6481,0.23368376,0.00029850873,0.19950289,0.0004975642,1.0
4000,3.4030182,29.029411764705884,62.517097,97.04342236238368,97.04342236238368,713.5444,0.2552985,0.00029792043,0.1993068,0.0004966033,1.0
5000,3.2279625,26.324324324324323,68.97581,89.14229132678058,89.14229132678058,606.1485,0.26488516,0.00029728748,0.19909583,0.00049556955,1.0
6000,3.2346084,27.558823529411764,74.21181,99.73387067458209,99.73387067458209,323.13544,0.2649567,0.00029668515,0.19889505,0.0004945858,1.0
7000,3.235298,31.903225806451612,81.232796,106.5223145023469,106.5223145023469,259.9829,0.23317012,0.00029610895,0.19870299,0.00049364456,1.0
8000,3.4383185,30.741935483870968,79.6186,100.3399615749236,100.3399615749236,297.56442,0.25158376,0.00029551343,0.19850446,0.0004926719,1.0
9000,3.405158,32.064516129032256,85.04614,109.36956239515736,109.36956239515736,356.1527,0.23056062,0.00029489293,0.19829766,0.00049165846,1.0
10000,3.4957845,30.70967741935484,84.93989,105.96393019153226,105.96393019153226,169.94865,0.227927,0.00029429336,0.19809778,0.0004906791,1.0
11000,3.3766756,32.63333333333333,83.22141,108.3193473815918,108.3193473815918,173.33746,0.23283765,0.00029371225,0.19790408,0.0004897299,1.0
12000,3.3235312,32.46666666666667,83.08248,106.6236801147461,106.6236801147461,169.5315,0.24483477,0.0002931017,0.19770056,0.00048873277,1.0
13000,3.3432264,31.633333333333333,82.3357,106.0073471069336,106.0073471069336,112.63423,0.22136936,0.0002924989,0.19749963,0.00048774813,1.0
14000,3.3623362,30.03125,84.25116,100.1726616024971,100.1726616024971,269.5864,0.22617967,0.00029190196,0.19730064,0.00048677318,1.0
15000,3.3106647,32.0,82.609055,108.29903116533833,108.29903116533833,139.58633,0.2521269,0.00029131706,0.19710568,0.00048581779,1.0
16000,3.086362,33.10344827586207,83.47564,106.52005557356209,106.52005557356209,164.09996,0.23144102,0.0002907163,0.19690543,0.0004848365,1.0
17000,2.791226,32.333333333333336,86.66664,109.9633056640625,109.9633056640625,135.33417,0.24866533,0.00029010273,0.1967009,0.00048383445,1.0
