Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1000,3.5738473,28.676470588235293,44.024677,95.6992638905843,95.6992638905843,2298.4749,0.2423347,0.00029968942,0.19989648,0.00049949274,1.0
2000,3.5609622,28.58823529411765,73.08644,92.41335352729348,92.41335352729348,389.1412,0.2467614,0.00029911523,0.19970506,0.00049855484,1.0
3000,3.5431182,29.84375,76.41765,102.08556270599365,102.08556270599365,373.39844,0.22617282,0.0002985017,0.19950056,0.0004975527,1.0
4000,3.5497477,31.0625,83.206055,106.10897254943848,106.10897254943848,175.46532,0.23767702,0.00029792296,0.19930765,0.0004966075,1.0
5000,3.5788023,30.93548387096774,82.01619,102.21485310216104,102.21485310216104,219.56404,0.23837338,0.00029731673,0.19910558,0.0004956173,1.0
6000,3.4588168,32.89655172413793,84.430504,109.50861884807718,109.50861884807718,149.9824,0.2463558,0.00029672156,0.1989072,0.0004946452,1.0
7000,3.402847,29.484848484848484,83.94039,99.27757633093631,99.27757633093631,127.360886,0.25614715,0.00029611442,0.19870481,0.0004936535,1.0
8000,3.2606142,30.21875,83.241035,102.79503440856934,102.79503440856934,250.98698,0.24959308,0.00029553194,0.19851065,0.0004927021,1.0
9000,3.0547943,30.875,83.55233,102.72563695907593,102.72563695907593,187.24771,0.23880236,0.00029489584,0.19829862,0.0004916632,1.0
10000,2.7504508,28.96969696969697,81.727104,96.15765016729182,96.15765016729182,272.23926,0.24473834,0.0002942932,0.19809774,0.0004906788,1.0
11000,2.550399,29.303030303030305,78.36156,95.33339402169892,95.33339402169892,235.13135,0.24171269,0.00029372485,0.19790828,0.0004897505,1.0
12000,2.8045454,25.526315789473685,75.838104,93.31973201350162,93.31973201350162,294.5453,0.23715197,0.00029310098,0.19770032,0.0004887316,1.0
13000,2.5911124,30.34375,78.898155,105.92863130569458,105.92863130569458,152.3964,0.24403347,0.00029247228,0.19749077,0.0004877047,1.0
14000,2.627313,28.696969696969695,78.39727,98.63539406747529,98.63539406747529,300.50967,0.24979019,0.00029189725,0.1972991,0.00048676544,1.0
