Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1000,3.5991154,27.02777777777778,0.1194925,0.5459999527250018,0.5459999527250018,0.01824881,0.26909894,0.00029968016,0.19989339,0.0004994776,1.0
2000,3.2935297,26.75,0.13246863,0.6331944039298428,0.6331944039298428,0.021703623,0.23513672,0.000299096,0.19969866,0.00049852335,1.0
3000,3.2190099,29.272727272727273,0.15532307,0.6903029680252075,0.6903029680252075,0.015126986,0.2633366,0.0002985028,0.19950092,0.00049755455,1.0
4000,2.9911304,30.15625,0.21502268,0.7546874359250069,0.7546874359250069,0.017850144,0.26573202,0.00029790626,0.19930209,0.0004965802,1.0
5000,3.084239,31.193548387096776,0.12813187,0.6522580154480473,0.6522580154480473,0.012580703,0.22429019,0.00029729377,0.19909795,0.00049557985,1.0
6000,3.0709224,31.903225806451612,0.12181754,0.6722580146405005,0.6722580146405005,0.01663361,0.27737808,0.0002967013,0.19890043,0.0004946121,1.0
7000,2.8772845,32.758620689655174,0.139353,0.7203447674882824,0.7203447674882824,0.0115217995,0.25117376,0.00029610057,0.19870019,0.0004936309,1.0
8000,2.860357,27.571428571428573,0.16605832,0.6301428037030357,0.6301428037030357,0.016032852,0.25098002,0.00029551436,0.19850475,0.00049267337,1.0
9000,2.622533,28.676470588235293,0.18627489,0.7027940662468181,0.7027940662468181,0.013725237,0.2867556,0.00029489188,0.19829729,0.00049165665,1.0
10000,2.050793,25.736842105263158,0.08449183,0.5044736383776915,0.5044736383776915,0.008257197,0.24995604,0.00029428984,0.19809662,0.00049067335,1.0
11000,2.1053562,28.029411764705884,0.1095013,0.6202940660364488,0.6202940660364488,0.010387018,0.22199765,0.00029369272,0.19789757,0.00048969814,1.0
12000,2.542,30.25,0.075356126,0.5546874543651938,0.5546874543651938,0.0093292035,0.24747686,0.00029310543,0.1977018,0.00048873876,1.0
13000,2.3271632,30.71875,0.09063599,0.5543749574571848,0.5543749574571848,0.009427704,0.22111659,0.00029249856,0.19749953,0.0004877476,1.0
14000,2.350902,33.37931034482759,0.12714514,0.709655125593317,0.709655125593317,0.030686658,0.24553093,0.000291895,0.19729833,0.0004867618,1.0
15000,2.4863381,29.9375,0.12785026,0.6443749517202377,0.6443749517202377,0.009282192,0.24831483,0.0002912978,0.19709927,0.00048578638,1.0
16000,2.1987603,24.487179487179485,0.16102676,0.6684614794376569,0.6684614794376569,0.008563677,0.25505772,0.00029068434,0.19689478,0.00048478445,1.0
17000,1.6569494,20.804347826086957,0.18411408,0.6223912465831508,0.6223912465831508,0.00958946,0.25566012,0.00029009988,0.19669996,0.00048382976,1.0
18000,2.2231972,30.21875,0.13593017,0.6949999500066042,0.6949999500066042,0.008489642,0.2264332,0.0002895262,0.19650875,0.00048289276,1.0
