Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1000,3.6844933,31.70967741935484,3.951592,102.27999725341797,102.27999725341797,2557.3315,0.22798362,0.0002996685,0.19988951,0.00049945863,1.0
2000,3.6503105,32.81818181818182,9.564954,96.16644902383128,96.16644902383128,1798.9834,0.24778719,0.0002989011,0.19963372,0.00049820513,1.0
3000,3.5203462,31.333333333333332,18.378485,103.69399712880453,103.69399712880453,2127.8167,0.22687966,0.00029848726,0.19949575,0.00049752917,1.0
4000,3.2649007,34.964285714285715,26.05249,125.00571128300258,125.00571128300258,2029.6587,0.23149355,0.0002978925,0.19929749,0.0004965577,1.0
5000,3.0842519,36.22222222222222,47.379997,137.8437011860035,137.8437011860035,3413.4504,0.25270805,0.00029727374,0.19909124,0.00049554714,1.0
6000,3.0693774,34.32142857142857,45.136997,133.29142604555403,133.29142604555403,2600.6887,0.24080834,0.00029668532,0.19889511,0.0004945861,1.0
7000,3.1856027,31.806451612903224,47.08804,124.7038688659668,124.7038688659668,6058.0566,0.23931162,0.00029608211,0.19869405,0.00049360085,1.0
8000,3.2112534,33.92857142857143,42.54243,103.72856862204415,103.72856862204415,910.6532,0.2505689,0.00029548223,0.19849408,0.000492621,1.0
9000,3.1674619,34.607142857142854,45.437428,127.60285452433995,127.60285452433995,1443.4904,0.24340087,0.00029491395,0.19830464,0.0004916928,1.0
10000,3.0412967,32.766666666666666,47.93252,117.30666478474934,117.30666478474934,1044.339,0.23224518,0.00029430896,0.19810298,0.0004907046,1.0
11000,2.6883087,37.03846153846154,49.689327,154.03691893357498,154.03691893357498,2368.3027,0.26208854,0.00029370835,0.19790278,0.0004897236,1.0
12000,2.7161984,35.17857142857143,64.1126,159.83213915143693,159.83213915143693,3270.792,0.23652148,0.0002930838,0.1976946,0.00048870355,1.0
13000,2.530075,33.3448275862069,59.140823,121.26344483474205,121.26344483474205,2059.1729,0.23510817,0.00029249454,0.19749817,0.00048774105,1.0
14000,2.6876628,35.75,47.9687,119.68571186065674,119.68571186065674,1014.29926,0.25674328,0.00029190112,0.19730037,0.00048677184,1.0
15000,2.7192335,35.81481481481482,49.958286,128.54814515290437,128.54814515290437,1354.1685,0.24920277,0.00029129616,0.19709873,0.00048578373,1.0
16000,2.8738368,35.07142857142857,48.267467,138.8064250946045,138.8064250946045,2749.9587,0.23614293,0.00029069325,0.19689777,0.00048479898,1.0
17000,2.9857926,35.629629629629626,46.764168,133.4096267135055,133.4096267135055,1353.4818,0.24079065,0.00029009246,0.19669747,0.0004838176,1.0
18000,2.7447603,36.30769230769231,47.517593,144.31845804361197,144.31845804361197,2027.8624,0.23933533,0.00028949638,0.19649881,0.00048284413,1.0
19000,2.8476806,34.241379310344826,54.64689,134.23723806183915,134.23723806183915,1732.886,0.24191579,0.0002888856,0.1962952,0.0004818464,1.0
20000,3.0698316,36.5,51.62327,152.09999891427847,152.09999891427847,2357.2437,0.24164613,0.0002883022,0.19610074,0.00048089353,1.0
21000,2.995441,34.3448275862069,55.47915,129.7896530545991,129.7896530545991,2206.8372,0.24215803,0.00028770106,0.19590035,0.00047991172,1.0
22000,2.8131397,37.15384615384615,55.69755,160.12153581472543,160.12153581472543,3034.4045,0.23900734,0.00028709817,0.1956994,0.00047892693,1.0
23000,2.5840518,37.57692307692308,53.78599,135.85230431189905,135.85230431189905,987.51935,0.23560835,0.00028647544,0.1954918,0.0004779098,1.0
24000,2.5617447,37.0,57.64063,140.90769063509427,140.90769063509427,1201.0107,0.23794943,0.0002858995,0.19529983,0.00047696914,1.0
