Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1000,3.6151164,30.03030303030303,-0.05293855,95.15531706809998,95.15531706809998,5842.9775,0.2521219,0.00029968354,0.19989452,0.0004994831,1.0
2000,3.4749753,30.125,10.178329,89.00093853473663,89.00093853473663,5890.838,0.2389132,0.00029909273,0.19969758,0.0004985181,1.0
3000,3.469836,28.78787878787879,12.914793,80.16393649939334,80.16393649939334,5242.7446,0.27115673,0.0002984988,0.19949959,0.0004975481,1.0
4000,3.2626598,32.6,38.72197,120.96233520507812,120.96233520507812,4965.215,0.24434122,0.00029788277,0.19929425,0.00049654185,1.0
5000,3.106722,32.2,20.889864,105.09000193277994,105.09000193277994,5389.589,0.23417248,0.00029728824,0.19909608,0.0004955707,1.0
6000,2.9519596,33.55172413793103,38.185856,115.54586305289433,115.54586305289433,3934.5493,0.23633355,0.00029671253,0.19890419,0.0004946304,1.0
7000,2.8283887,35.464285714285715,63.03329,158.41893032618933,158.41893032618933,7203.088,0.23377508,0.00029609774,0.19869925,0.00049362634,1.0
8000,2.605298,33.785714285714285,67.55295,136.15357671465193,136.15357671465193,7779.5664,0.24587643,0.00029547143,0.19849049,0.00049260334,1.0
9000,2.1059034,36.888888888888886,90.5873,163.3688894201208,163.3688894201208,8346.859,0.24696821,0.00029488947,0.19829649,0.00049165275,1.0
10000,2.3185122,35.925925925925924,91.437744,166.97666909959582,166.97666909959582,5979.2725,0.25240466,0.0002942591,0.19808638,0.00049062324,1.0
11000,2.3737953,33.10344827586207,65.22703,125.88482744940396,125.88482744940396,5627.5205,0.25341427,0.00029370777,0.19790258,0.00048972265,1.0
12000,2.258423,33.275862068965516,37.301342,115.09862071070178,115.09862071070178,6438.818,0.23896323,0.00029312217,0.19770738,0.0004887662,1.0
13000,1.7072147,35.107142857142854,40.603596,181.46643025534493,181.46643025534493,8816.504,0.23603548,0.0002924857,0.19749524,0.0004877266,1.0
14000,1.6820607,34.714285714285715,65.04264,142.83392974308558,142.83392974308558,6433.845,0.25272334,0.0002918839,0.19729462,0.00048674364,1.0
15000,1.6262829,37.34615384615385,76.51805,202.9611558180589,202.9611558180589,7652.677,0.22712643,0.00029130367,0.19710124,0.000485796,1.0
16000,1.5020391,35.5,96.895325,154.55428859165735,154.55428859165735,7483.999,0.25256336,0.0002907054,0.19690183,0.0004848188,1.0
17000,1.6041921,38.4,112.06386,229.27280471801757,229.27280471801757,6041.7607,0.24287203,0.0002900983,0.19669943,0.00048382714,1.0
18000,1.6900212,33.44827586206897,91.60674,153.71723898525894,153.71723898525894,9247.6,0.24050999,0.00028952034,0.19650677,0.0004828832,1.0
19000,1.7603202,36.51851851851852,76.852264,186.34962887234158,186.34962887234158,5961.5835,0.25617206,0.00028890203,0.19630067,0.00048187329,1.0
20000,1.7530584,37.11538461538461,93.38823,211.67346360133246,211.67346360133246,5484.995,0.2498233,0.0002882857,0.19609524,0.00048086658,1.0
21000,1.9114597,35.51851851851852,97.60189,202.30074578744393,202.30074578744393,5006.3506,0.23908798,0.0002876953,0.19589843,0.00047990226,1.0
22000,1.8617312,32.8,122.480644,154.96433347066244,154.96433347066244,6462.1924,0.26715848,0.00028711586,0.19570528,0.00047895586,1.0
23000,1.6924361,36.51851851851852,117.96329,207.7733391655816,207.7733391655816,6502.9824,0.2490512,0.00028649432,0.19549811,0.00047794072,1.0
24000,1.7334146,37.19230769230769,118.27372,201.11077029888446,201.11077029888446,5576.5073,0.24339955,0.00028587645,0.19529215,0.0004769315,1.0
